Azimuth1.803,Elevation2.7045
Azimuth2.00064,Elevation3.00096
Azimuth2.27937,Elevation3.41906
Azimuth2.55403,Elevation3.83105
Azimuth2.8289,Elevation4.24334
Azimuth3.10372,Elevation4.65557
Azimuth3.37848,Elevation5.06772
Azimuth3.65316,Elevation5.47975
Azimuth3.92774,Elevation5.89161
Azimuth4.20218,Elevation6.30327
Azimuth4.47646,Elevation6.71469
Azimuth4.75056,Elevation7.12584
Azimuth5.02446,Elevation7.53668
Azimuth5.29812,Elevation7.94718
Azimuth5.57153,Elevation8.35729
Azimuth5.84465,Elevation8.76698
Azimuth6.11748,Elevation9.17622
Azimuth6.38998,Elevation9.58498
Azimuth6.66214,Elevation9.99321
Azimuth6.93392,Elevation10.4009
Azimuth7.20531,Elevation10.808
Azimuth7.47629,Elevation11.2144
Azimuth7.74683,Elevation11.6202
Azimuth8.01691,Elevation12.0254
Azimuth8.28652,Elevation12.4298
Azimuth8.55562,Elevation12.8334
Azimuth8.8242,Elevation13.2363
Azimuth9.09223,Elevation13.6384
Azimuth9.35971,Elevation14.0396
Azimuth9.6266,Elevation14.4399
Azimuth9.89289,Elevation14.8393
Azimuth10.1586,Elevation15.2378
Azimuth10.4236,Elevation15.6354
Azimuth10.688,Elevation16.0319
Azimuth10.9516,Elevation16.4275
Azimuth11.2146,Elevation16.8219
Azimuth11.4769,Elevation17.2154
Azimuth11.7384,Elevation17.6077
Azimuth11.9992,Elevation17.9988
Azimuth12.2592,Elevation18.3889
Azimuth12.5185,Elevation18.7777
Azimuth12.7769,Elevation19.1653
Azimuth13.0345,Elevation19.5517
Azimuth13.2913,Elevation19.9369
Azimuth13.5472,Elevation20.3207
Azimuth13.8022,Elevation20.7033
Azimuth14.0563,Elevation21.0845
Azimuth14.3096,Elevation21.4644
Azimuth14.5619,Elevation21.8429
Azimuth14.8133,Elevation22.22
Azimuth15.0638,Elevation22.5956
Azimuth15.3132,Elevation22.9699
Azimuth15.5618,Elevation23.3426
Azimuth15.8093,Elevation23.7139
Azimuth16.0558,Elevation24.0837
Azimuth16.3013,Elevation24.4519
Azimuth16.5457,Elevation24.8186
Azimuth16.7891,Elevation25.1837
Azimuth17.0315,Elevation25.5472
Azimuth17.2727,Elevation25.9091
Azimuth17.5129,Elevation26.2694
Azimuth17.752,Elevation26.628
Azimuth17.99,Elevation26.985
Azimuth18.2268,Elevation27.3402
Azimuth18.4625,Elevation27.6938
Azimuth18.6971,Elevation28.0457
Azimuth18.9305,Elevation28.3958
Azimuth19.1628,Elevation28.7441
Azimuth19.3938,Elevation29.0907
Azimuth19.6237,Elevation29.4355
Azimuth19.8524,Elevation29.7785
Azimuth20.0798,Elevation30.1197
Azimuth20.3061,Elevation30.4591
Azimuth20.5311,Elevation30.7966
Azimuth20.7548,Elevation31.1322
Azimuth20.9773,Elevation31.466
Azimuth21.1986,Elevation31.7979
Azimuth21.4186,Elevation32.1279
Azimuth21.6373,Elevation32.4559
Azimuth21.8547,Elevation32.782
Azimuth22.0708,Elevation33.1062
Azimuth22.2856,Elevation33.4284
Azimuth22.4991,Elevation33.7487
Azimuth22.7113,Elevation34.067
Azimuth22.9222,Elevation34.3833
Azimuth23.1317,Elevation34.6976
Azimuth23.3399,Elevation35.0098
Azimuth23.5467,Elevation35.3201
Azimuth23.7522,Elevation35.6283
Azimuth23.9563,Elevation35.9345
Azimuth24.1591,Elevation36.2386
Azimuth24.3604,Elevation36.5407
Azimuth24.5604,Elevation36.8406
Azimuth24.759,Elevation37.1386
Azimuth24.9562,Elevation37.4344
Azimuth25.1521,Elevation37.7281
Azimuth25.3465,Elevation38.0197
Azimuth25.5395,Elevation38.3092
Azimuth25.7311,Elevation38.5966
Azimuth25.9212,Elevation38.8819
