descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
trace_values,0,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.00099930666503911247,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0019994933471679799,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0029993600341797766,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0039994667114258142,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0050002134155273659,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0059996000854493081,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0069997067626953458,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0080001734619140619,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0090002001464843939,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.010000266833496085,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.010999573498535198,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.012000120190429731,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.012999826867675868,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.01400041356201176,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.015000400244140621,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.016000466931152424,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.017000493615722645,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.017999760278320398,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.018999826965332089,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.020000573657226628,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.02100000032958993,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.022000547021484462,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.023000573706054683,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.024000600390625015,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.025000627075195347,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.026000093750000008,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.027000040429687511,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.028000747131347703,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.029000173791503991,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.030000760498046897,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.031000787170410216,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.032000093835449217,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.033000840539550769,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0340003472167969,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.035000333898925873,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.0360005605834961,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.037000427258300772,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
